"Name","Ticker","Morningstar Category","US Category Group","Firm Name","Inception 
Date","Manager Name","Clean Share - Service Fee Arrangement","Annual Report 
Net Expense 
Ratio 
Year2017","Annual Report 
Net Expense 
Ratio 
Year2018","Annual Report 
Net Expense 
Ratio 
Year2019","Annual Report 
Net Expense 
Ratio","Net Assets 
Date","Net Assets 
- Share Class 
USD","Fund Size 
Date","Fund Size 
USD","Oldest 
Share Class","Management 
Fee","Prospectus 
Net Expense 
Ratio","Share Class Type","Index 
Fund","Alpha 
1 Yr (Mo-End) 
USD","Alpha 
3 Yr (Mo-End) 
USD","Alpha 
5 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
1 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
3 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
5 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
1 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
3 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
5 Yr (Mo-End) 
USD","Socially 
Conscious","Annual Report 
Expense Waiver 
Year2017","Annual Report 
Expense Waiver 
Year2018","Annual Report 
Expense Waiver 
Year2019","Annual Report 
Expense Waiver","Annual Report Expense Waiver Amount 
Year2017 
USD","Annual Report Expense Waiver Amount 
Year2018 
USD","Annual Report Expense Waiver Amount 
Year2019 
USD","Annual Report Expense Waiver Amount 
USD","Prospectus Expense Waiver","Prospectus Expense Waiver 
Expiration Date","Prospectus Expense Waiver Type","Management Fee 
1st Breakpoint","Management Fee 
2nd Breakpoint","Management Fee 
3rd Breakpoint","Management Fee 
4th Breakpoint","Management Fee 
5th Breakpoint","Management Fee 
6th Breakpoint","Management Fee 
7th Breakpoint","Management Fee 
8th Breakpoint","Management Fee 
9th Breakpoint","Management Fee 
Breakpoint Unit","Net Assets - share class (Monthly) 
2017-01 
USD","Net Assets - share class (Monthly) 
2017-02 
USD","Net Assets - share class (Monthly) 
2017-03 
USD","Net Assets - share class (Monthly) 
2017-04 
USD","Net Assets - share class (Monthly) 
2017-05 
USD","Net Assets - share class (Monthly) 
2017-06 
USD","Net Assets - share class (Monthly) 
2017-07 
USD","Net Assets - share class (Monthly) 
2017-08 
USD","Net Assets - share class (Monthly) 
2017-09 
USD","Net Assets - share class (Monthly) 
2017-10 
USD","Net Assets - share class (Monthly) 
2017-11 
USD","Net Assets - share class (Monthly) 
2017-12 
USD","Net Assets - share class (Monthly) 
2018-01 
USD","Net Assets - share class (Monthly) 
2018-02 
USD","Net Assets - share class (Monthly) 
2018-03 
USD","Net Assets - share class (Monthly) 
2018-04 
USD","Net Assets - share class (Monthly) 
2018-05 
USD","Net Assets - share class (Monthly) 
2018-06 
USD","Net Assets - share class (Monthly) 
2018-07 
USD","Net Assets - share class (Monthly) 
2018-08 
USD","Net Assets - share class (Monthly) 
2018-09 
USD","Net Assets - share class (Monthly) 
2018-10 
USD","Net Assets - share class (Monthly) 
2018-11 
USD","Net Assets - share class (Monthly) 
2018-12 
USD","Net Assets - share class (Monthly) 
2019-01 
USD","Net Assets - share class (Monthly) 
2019-02 
USD","Net Assets - share class (Monthly) 
2019-03 
USD","Net Assets - share class (Monthly) 
2019-04 
USD","Net Assets - share class (Monthly) 
2019-05 
USD","Net Assets - share class (Monthly) 
2019-06 
USD","Net Assets - share class (Monthly) 
2019-07 
USD","Net Assets - share class (Monthly) 
2019-08 
USD","Net Assets - share class (Monthly) 
2019-09 
USD","Net Assets - share class (Monthly) 
2019-10 
USD","Net Assets - share class (Monthly) 
2019-11 
USD","Net Assets - share class (Monthly) 
2019-12 
USD"
"Wells Fargo Emerging Growth Inst","WEMIX","US Fund Small Growth","U.S. Equity","Wells Fargo Funds","2008-03-31","Thomas C. Ognar;Joseph M. Eberhardy;","Semi-bundled","0.90","0.90","0.90","0.90","2020-06-11","451,330,025.00","2020-06-11","635,288,983.00","No","0.84","0.90","Inst","No","0.17","3.27","-1.10","-176,652,652.60","-277,994,832.67","-474,726,319.41","-178,989,550.13","-341,125,848.38","-691,513,073.60","No","0.10","0.10","0.11","0.11","540,366","556,586","635,181","635,181","0.32","2020-09-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","3,000,000,000.00","4,000,000,000.00","","","","","Monetary/Dollars","535,189,269.00","534,287,950.00","530,080,950.00","546,197,776.00","535,076,197.00","550,109,289.00","544,989,878.00","531,693,833.00","552,859,862.00","561,217,011.00","566,794,190.00","555,571,468.00","580,674,524.00","563,217,611.00","566,751,460.00","564,636,508.00","606,604,310.00","619,412,990.00","623,040,070.00","692,779,652.00","671,072,138.00","596,426,897.00","586,358,462.00","505,059,987.00","562,086,156.00","594,763,401.00","583,419,587.00","610,737,543.00","577,810,140.00","601,894,744.00","592,155,706.00","564,664,271.00","551,350,616.00","557,404,339.00","601,683,501.00","598,261,549.00"
"Wells Fargo Emerging Growth R6","WEGRX","US Fund Small Growth","U.S. Equity","Wells Fargo Funds","2018-08-01","Thomas C. Ognar;Joseph M. Eberhardy;","Unbundled","","","0.85","0.85","2020-06-11","18,806,041.00","2020-06-11","635,288,983.00","No","0.84","0.85","Retirement","No","0.27","3.25","-1.23","19,110,023.59","","","-178,989,550.13","-341,125,848.38","-691,513,073.60","No","","","0.11","0.11","","","110","110","0.27","2020-09-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","3,000,000,000.00","4,000,000,000.00","","","","","Monetary/Dollars","","","","","","","","","","","","","","","","","","","","27,751.00","276,226.00","248,286.00","251,852.00","212,073.00","32,709.00","20,378.00","20,149.00","21,051.00","22,402.00","5,915,455.00","5,806,570.00","5,530,404.00","5,102,572.00","4,945,274.00","5,195,598.00","5,226,798.00"
"Wells Fargo Emerging Markets Bond","WBEMX","US Fund Emerging Markets Bond","Taxable Bond","Wells Fargo Funds","2017-08-04","Michael Lee;Alex Perrin;","Unbundled","","0.00","0.00","0.00","2020-06-11","977,903.00","2020-06-11","977,903.00","Yes","0.25","0.00","Other","Yes","-13.20","","","-85,006.56","","","-85,006.56","","","No","","749.47","11.56","7.04","","43,327","58,833","75,181","11.56","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","","","","","","","","10,113.00","10,109.00","10,158.00","10,153.00","9,985.00","9,973.00","9,796.00","9,822.00","9,688.00","9,586.00","9,285.00","9,527.00","1,007,860.00","1,022,606.00","1,001,009.00","996,219.00","992,478.00","1,035,945.00","1,046,448.00","1,059,953.00","1,061,921.00","1,066,401.00","1,076,999.00","1,086,464.00","1,093,439.00","1,086,709.00","1,088,314.00","1,084,771.00","1,020,318.00"
"Wells Fargo Emerging Markets Bond Por","","US Fund Emerging Markets Bond","Taxable Bond","Wells Fargo Funds","2017-05-23","Michael Lee;Alex Perrin;","Unbundled","","","0.00","0.35","","","","","Yes","0.25","0.25","Other","Yes","","","","","","","","","","No","","","5.62","0.17","","","58,833","71,097","","","","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wells Fargo Emerging Markets Eq Inc A","EQIAX","US Fund Diversified Emerging Mkts","International Equity","Wells Fargo Funds","2012-05-31","Alison Shimada;Elaine Tse;","Bundled","1.63","1.62","1.62","1.62","2020-06-11","82,350,075.00","2020-06-11","384,708,160.00","No","1.05","1.56","A","No","-7.12","-2.71","-2.60","-15,802,294.39","-14,187,715.76","-17,426,477.71","-236,448,061.56","-182,575,752.68","173,598,371.92","No","0.10","0.12","0.07","0.07","21,425","27,397","15,379","15,379","0.14","2021-02-28","Contractual","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","27,687,886.00","28,158,172.00","17,034,954.00","17,618,430.00","18,535,843.00","19,789,308.00","20,785,138.00","21,572,374.00","21,779,130.00","22,733,968.00","22,954,355.00","24,262,882.00","27,460,651.00","26,431,696.00","25,731,007.00","25,080,253.00","23,685,540.00","22,021,832.00","23,112,883.00","21,462,574.00","21,518,214.00","19,683,011.00","19,789,983.00","20,483,123.00","21,622,861.00","21,795,941.00","21,758,028.00","21,797,892.00","20,202,219.00","21,116,514.00","20,193,035.00","19,066,688.00","19,515,652.00","20,015,600.00","19,672,342.00","113,801,569.00"
"Wells Fargo Emerging Markets Eq Inc Adm","EQIDX","US Fund Diversified Emerging Mkts","International Equity","Wells Fargo Funds","2012-05-31","Alison Shimada;Elaine Tse;","Semi-bundled","1.45","1.45","1.45","1.45","2020-06-11","3,930,929.00","2020-06-11","384,708,160.00","No","1.05","1.46","Other","No","-7.04","-2.54","-2.40","-730,540.66","-8,918,151.72","-42,837,313.05","-236,448,061.56","-182,575,752.68","173,598,371.92","No","0.10","0.12","0.16","0.16","14,322","11,440","7,283","7,283","0.16","2021-02-28","Contractual","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","11,560,075.00","12,031,708.00","12,243,938.00","12,085,949.00","11,993,809.00","12,375,478.00","13,343,819.00","13,660,045.00","13,496,326.00","13,938,601.00","13,705,762.00","13,269,949.00","14,473,647.00","13,816,236.00","15,358,419.00","15,334,864.00","7,294,560.00","4,391,622.00","4,796,978.00","5,065,434.00","4,924,810.00","4,758,666.00","4,925,440.00","4,606,055.00","4,914,278.00","4,911,605.00","4,880,483.00","4,792,225.00","4,385,466.00","4,565,335.00","4,345,504.00","4,117,526.00","4,145,788.00","4,685,899.00","4,346,275.00","5,416,831.00"
"Wells Fargo Emerging Markets Eq Inc C","EQICX","US Fund Diversified Emerging Mkts","International Equity","Wells Fargo Funds","2012-05-31","Alison Shimada;Elaine Tse;","Bundled","2.38","2.37","2.37","2.37","2020-06-11","9,106,737.00","2020-06-11","384,708,160.00","No","1.05","2.31","C","No","-8.06","-3.50","-3.38","-2,949,840.12","-5,349,397.36","-642,409.31","-236,448,061.56","-182,575,752.68","173,598,371.92","No","0.10","0.12","0.07","0.07","14,103","19,565","9,555","9,555","0.14","2021-02-28","Contractual","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","13,118,861.00","13,756,716.00","14,415,574.00","14,675,692.00","14,740,406.00","14,815,851.00","15,298,419.00","15,879,789.00","16,231,534.00","16,883,776.00","16,907,553.00","17,791,683.00","19,425,371.00","18,333,331.00","18,346,473.00","18,138,793.00","17,095,413.00","15,696,966.00","15,948,480.00","15,317,534.00","15,515,758.00","13,916,014.00","13,869,442.00","13,015,351.00","14,157,372.00","13,746,921.00","13,469,522.00","13,466,361.00","12,249,856.00","12,759,552.00","12,342,130.00","11,664,204.00","11,682,048.00","11,968,392.00","11,462,271.00","13,252,862.00"
"Wells Fargo Emerging Markets Eq Inc Inst","EQIIX","US Fund Diversified Emerging Mkts","International Equity","Wells Fargo Funds","2012-05-31","Alison Shimada;Elaine Tse;","Semi-bundled","1.23","1.22","1.22","1.22","2020-06-11","216,704,416.00","2020-06-11","384,708,160.00","Yes","1.05","1.22","Inst","No","-6.88","-2.36","-2.22","-212,142,904.13","-176,531,105.28","159,447,656.80","-236,448,061.56","-182,575,752.68","173,598,371.92","No","0.10","0.12","0.14","0.14","416,224","608,814","677,414","677,414","0.12","2021-02-28","Contractual","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","369,146,301.00","386,881,080.00","417,029,113.00","421,775,179.00","422,596,435.00","437,158,955.00","470,153,990.00","486,043,402.00","486,475,766.00","514,588,894.00","507,740,674.00","528,871,606.00","579,588,015.00","560,854,286.00","557,310,616.00","556,173,006.00","541,338,282.00","504,702,586.00","520,943,964.00","494,176,967.00","493,584,439.00","452,584,393.00","457,967,223.00","434,240,367.00","482,875,539.00","480,558,151.00","478,841,430.00","493,626,567.00","460,155,480.00","489,396,689.00","475,704,849.00","449,237,383.00","461,777,413.00","471,260,261.00","460,627,053.00","512,071,777.00"
"Wells Fargo Emerging Markets Eq Inc R","EQIHX","US Fund Diversified Emerging Mkts","International Equity","Wells Fargo Funds","2015-09-30","Alison Shimada;Elaine Tse;","Bundled","1.87","1.87","1.87","1.87","2020-06-11","86,677.00","2020-06-11","384,708,160.00","No","1.05","1.81","Retirement","No","-7.52","-2.99","-2.85","-12,563.55","69,392.16","","-236,448,061.56","-182,575,752.68","173,598,371.92","No","0.10","0.12","0.06","0.06","29","77","62","62","0.14","2021-02-28","Contractual","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","27,935.00","28,876.00","29,337.00","29,476.00","29,725.00","30,058.00","31,089.00","31,566.00","31,369.00","32,053.00","31,731.00","32,965.00","36,255.00","61,053.00","61,811.00","62,441.00","61,160.00","87,164.00","95,395.00","94,713.00","97,835.00","92,257.00","95,575.00","96,200.00","106,808.00","108,282.00","106,838.00","111,553.00","107,088.00","114,317.00","115,531.00","112,341.00","89,082.00","95,396.00","93,393.00","100,721.00"
"Wells Fargo Emerging Markets Eq Inc R6","EQIRX","US Fund Diversified Emerging Mkts","International Equity","Wells Fargo Funds","2015-09-30","Alison Shimada;Elaine Tse;","Unbundled","1.17","1.17","1.17","1.17","2020-06-11","72,529,326.00","2020-06-11","384,708,160.00","No","1.05","1.18","Retirement","No","-6.79","-2.28","-2.16","-4,809,918.71","22,341,225.29","","-236,448,061.56","-182,575,752.68","173,598,371.92","No","0.10","0.12","0.09","0.09","30,285","49,682","65,170","65,170","0.09","2021-02-28","Contractual","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","2,722,971.00","2,807,412.00","28,835,217.00","37,723,187.00","53,480,315.00","54,136,831.00","55,916,631.00","56,783,727.00","56,412,706.00","57,766,003.00","43,929,232.00","45,708,259.00","49,584,619.00","43,843,370.00","44,373,380.00","43,914,872.00","39,907,205.00","36,983,724.00","38,318,351.00","37,365,407.00","38,376,451.00","36,598,562.00","37,324,667.00","68,733,813.00","72,364,482.00","80,462,863.00","79,463,791.00","85,463,473.00","83,292,572.00","87,946,794.00","80,947,146.00","77,972,216.00","80,158,323.00","83,563,059.00","81,357,909.00","86,313,731.00"
"Wells Fargo Emerging Markets Equity A","EMGAX","US Fund Diversified Emerging Mkts","International Equity","Wells Fargo Funds","1994-09-06","Yi (Jerry) Zhang;Derrick Irwin;Richard Peck;","Bundled","1.58","1.57","1.57","1.57","2020-06-11","192,865,141.00","2020-06-11","3,570,059,274.00","No","1.02","1.56","A","No","6.79","1.74","2.63","-29,953,797.31","-78,735,181.65","-1,162,801,486.71","-338,412,854.55","-59,337,491.98","-1,581,927,292.96","No","0.03","0.06","0.00","0.00","122,390","142,063","3,531","3,531","0.03","2021-02-28","Contractual","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","866,536,154.00","901,519,644.00","241,471,667.00","245,064,704.00","257,042,748.00","253,533,553.00","264,883,130.00","267,985,068.00","267,568,522.00","268,421,939.00","265,091,814.00","271,106,289.00","290,404,072.00","276,746,534.00","272,007,823.00","265,508,383.00","256,403,272.00","243,279,780.00","247,085,377.00","230,986,919.00","226,938,714.00","201,601,482.00","207,542,760.00","197,390,862.00","216,385,842.00","228,352,735.00","228,795,174.00","232,424,810.00","210,435,259.00","221,390,039.00","217,726,085.00","210,724,104.00","213,464,456.00","227,879,031.00","227,054,608.00","237,765,532.00"
"Wells Fargo Emerging Markets Equity Adm","EMGYX","US Fund Diversified Emerging Mkts","International Equity","Wells Fargo Funds","1994-09-06","Yi (Jerry) Zhang;Derrick Irwin;Richard Peck;","Semi-bundled","1.46","1.46","1.46","1.46","2020-06-11","70,697,503.00","2020-06-11","3,570,059,274.00","Yes","1.02","1.43","Other","No","6.96","1.85","2.74","-43,059,775.53","-78,641,236.89","-321,515,461.36","-338,412,854.55","-59,337,491.98","-1,581,927,292.96","No","0.03","0.06","0.03","0.03","36,522","74,954","37,024","37,024","0.08","2021-02-28","Contractual","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","141,136,294.00","137,784,240.00","137,454,344.00","139,985,353.00","139,282,993.00","141,169,233.00","147,360,971.00","149,387,294.00","143,540,429.00","144,784,986.00","142,302,291.00","147,106,974.00","157,357,319.00","149,556,624.00","148,703,698.00","144,250,019.00","133,387,404.00","127,584,029.00","125,378,175.00","116,793,594.00","113,487,853.00","103,584,622.00","107,503,872.00","103,792,443.00","112,217,825.00","112,973,419.00","113,516,474.00","116,778,329.00","106,290,233.00","108,922,427.00","103,579,670.00","101,509,526.00","102,213,569.00","104,938,913.00","102,039,516.00","97,726,130.00"
"Wells Fargo Emerging Markets Equity C","EMGCX","US Fund Diversified Emerging Mkts","International Equity","Wells Fargo Funds","1994-09-06","Yi (Jerry) Zhang;Derrick Irwin;Richard Peck;","Bundled","2.31","2.32","2.32","2.32","2020-06-11","21,816,371.00","2020-06-11","3,570,059,274.00","No","1.02","2.31","C","No","6.09","0.99","1.87","-17,944,483.49","-47,524,589.76","-92,958,074.51","-338,412,854.55","-59,337,491.98","-1,581,927,292.96","No","0.03","0.06","0.00","0.00","17,173","36,255","764","764","0.03","2021-02-28","Contractual","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","65,896,855.00","65,887,423.00","67,607,317.00","68,184,240.00","66,609,043.00","65,836,388.00","68,231,612.00","68,524,563.00","68,698,949.00","69,878,076.00","68,377,171.00","70,797,473.00","75,804,319.00","72,800,895.00","70,503,830.00","67,907,175.00","65,334,288.00","61,450,785.00","61,391,314.00","57,002,152.00","55,319,940.00","49,187,282.00","50,417,642.00","47,886,994.00","52,522,295.00","42,981,546.00","41,722,319.00","42,337,408.00","37,574,476.00","38,832,939.00","37,546,254.00","35,331,967.00","34,507,422.00","29,503,184.00","28,744,140.00","29,778,881.00"
"Wells Fargo Emerging Markets Equity Inst","EMGNX","US Fund Diversified Emerging Mkts","International Equity","Wells Fargo Funds","2010-07-30","Yi (Jerry) Zhang;Derrick Irwin;Richard Peck;","Semi-bundled","1.20","1.19","1.19","1.19","2020-06-11","3,000,691,828.00","2020-06-11","3,570,059,274.00","No","1.02","1.18","Inst","No","7.21","2.13","3.01","-124,098,465.60","40,694,934.14","-205,165,398.31","-338,412,854.55","-59,337,491.98","-1,581,927,292.96","No","0.03","0.06","0.06","0.06","636,139","1,778,354","1,726,085","1,726,085","0.08","2021-02-28","Contractual","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","1,799,642,865.00","1,847,319,759.00","2,594,245,500.00","2,650,995,730.00","2,736,027,069.00","2,730,434,525.00","2,869,672,473.00","3,323,863,272.00","3,342,861,759.00","3,427,491,205.00","3,400,882,365.00","3,491,210,540.00","3,712,092,352.00","3,235,937,992.00","3,202,972,876.00","3,166,161,393.00","3,138,574,690.00","3,028,630,060.00","3,061,276,402.00","3,017,916,435.00","3,033,328,253.00","2,790,532,483.00","2,928,061,616.00","2,858,247,021.00","3,140,070,497.00","3,125,817,412.00","3,137,571,505.00","3,223,608,324.00","2,940,654,091.00","3,134,328,636.00","3,317,454,271.00","3,255,355,361.00","3,304,940,886.00","3,475,022,927.00","3,471,450,881.00","3,698,255,274.00"
"Wells Fargo Emerging Markets Equity R6","EMGDX","US Fund Diversified Emerging Mkts","International Equity","Wells Fargo Funds","2013-06-28","Yi (Jerry) Zhang;Derrick Irwin;Richard Peck;","Unbundled","1.14","1.15","1.14","1.14","2020-06-11","283,988,431.00","2020-06-11","3,570,059,274.00","No","1.02","1.14","Retirement","No","7.23","2.17","3.05","-123,356,332.63","104,868,582.18","202,630,818.91","-338,412,854.55","-59,337,491.98","-1,581,927,292.96","No","0.03","0.06","0.00","0.00","44,008","183,822","6,309","6,309","0.02","2021-02-28","Contractual","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","135,910,821.00","139,685,588.00","149,294,703.00","155,924,104.00","168,529,184.00","170,820,029.00","181,647,806.00","186,520,641.00","197,895,806.00","188,572,002.00","239,401,636.00","229,780,210.00","276,359,261.00","391,095,314.00","384,415,392.00","380,271,546.00","369,293,688.00","349,764,110.00","363,451,812.00","347,878,691.00","351,233,260.00","326,267,619.00","338,837,392.00","354,909,883.00","386,212,812.00","396,243,654.00","402,080,907.00","411,062,863.00","378,228,763.00","404,791,691.00","403,397,726.00","398,326,637.00","350,391,465.00","362,447,396.00","322,217,496.00","325,048,185.00"
"Wells Fargo Endeavor Select A","STAEX","US Fund Large Growth","U.S. Equity","Wells Fargo Funds","2000-12-29","Michael T. Smith;Christopher J. Warner;","Bundled","1.20","1.20","1.20","1.20","2020-06-11","112,516,881.00","2020-06-11","248,225,918.00","Yes","0.70","1.03","A","No","11.59","9.22","5.38","-2,269,435.20","-3,139,206.18","-18,667,252.68","-21,742,055.24","-116,555,813.66","-276,076,629.28","No","0.08","0.11","0.16","0.16","11,789","15,455","25,960","25,960","0.27","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","14,826,431.00","14,975,332.00","11,848,256.00","12,191,120.00","12,614,291.00","12,476,424.00","12,948,960.00","12,896,376.00","13,041,334.00","13,450,951.00","13,515,964.00","13,198,478.00","14,587,980.00","14,147,133.00","14,951,737.00","15,308,728.00","14,718,237.00","14,920,164.00","16,297,962.00","16,658,146.00","17,086,979.00","15,150,016.00","15,187,723.00","13,144,780.00","14,238,026.00","15,816,641.00","15,918,118.00","16,821,082.00","16,294,176.00","17,329,104.00","17,933,051.00","18,412,057.00","99,106,502.00","101,432,062.00","106,301,363.00","104,424,290.00"
"Wells Fargo Endeavor Select Admin","WECDX","US Fund Large Growth","U.S. Equity","Wells Fargo Funds","2005-04-08","Michael T. Smith;Christopher J. Warner;","Semi-bundled","1.00","1.00","1.00","1.00","2020-06-11","8,191,018.00","2020-06-11","248,225,918.00","No","0.70","0.94","Other","No","11.68","9.37","5.58","-333,993.82","-2,673,226.82","-40,434,767.93","-21,742,055.24","-116,555,813.66","-276,076,629.28","No","0.08","0.11","0.16","0.16","3,255","3,602","4,321","4,321","0.28","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","3,846,349.00","3,853,931.00","3,597,159.00","3,664,376.00","3,744,030.00","3,667,660.00","3,694,810.00","3,600,600.00","3,472,065.00","3,430,194.00","3,462,162.00","3,300,071.00","3,442,180.00","3,175,005.00","2,960,250.00","2,991,857.00","3,077,564.00","3,131,084.00","3,105,038.00","3,065,775.00","3,034,529.00","2,636,280.00","2,703,357.00","2,361,951.00","2,674,870.00","2,533,259.00","2,491,691.00","2,550,790.00","2,477,201.00","2,584,084.00","2,590,301.00","2,555,556.00","7,210,577.00","7,253,128.00","7,664,334.00","7,634,756.00"
"Wells Fargo Endeavor Select C","WECCX","US Fund Large Growth","U.S. Equity","Wells Fargo Funds","2000-12-29","Michael T. Smith;Christopher J. Warner;","Bundled","1.95","1.95","1.95","1.95","2020-06-11","5,819,168.00","2020-06-11","248,225,918.00","No","0.70","1.78","C","No","10.79","8.41","4.62","857,764.22","-1,808,275.62","-5,698,568.19","-21,742,055.24","-116,555,813.66","-276,076,629.28","No","0.08","0.11","0.16","0.16","3,200","4,155","4,840","4,840","0.27","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","3,667,470.00","3,656,469.00","3,536,396.00","3,634,516.00","3,747,314.00","3,580,387.00","3,675,881.00","3,697,286.00","3,750,428.00","3,820,299.00","3,793,549.00","3,732,184.00","3,945,785.00","3,838,876.00","3,781,882.00","3,834,897.00","3,964,389.00","3,600,702.00","3,791,750.00","3,934,480.00","4,011,102.00","3,574,891.00","3,548,791.00","3,154,342.00","3,722,009.00","2,339,430.00","2,394,386.00","2,394,853.00","2,187,812.00","2,084,162.00","2,115,544.00","2,123,763.00","4,025,669.00","4,053,812.00","4,311,294.00","3,964,831.00"
"Wells Fargo Endeavor Select Inst","WFCIX","US Fund Large Growth","U.S. Equity","Wells Fargo Funds","2005-04-08","Michael T. Smith;Christopher J. Warner;","Semi-bundled","0.80","0.80","0.80","0.80","2020-06-11","77,863,869.00","2020-06-11","248,225,918.00","No","0.70","0.70","Inst","No","11.92","9.60","5.77","-54,006,929.20","-142,945,643.82","-245,186,493.83","-21,742,055.24","-116,555,813.66","-276,076,629.28","No","0.08","0.11","0.16","0.16","119,459","152,512","182,945","182,945","0.27","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","143,905,847.00","144,029,833.00","145,292,625.00","146,617,833.00","146,685,699.00","143,734,604.00","144,212,695.00","144,191,218.00","143,100,519.00","144,743,112.00","142,542,954.00","138,981,759.00","146,220,659.00","137,362,455.00","132,882,026.00","133,020,979.00","135,531,612.00","134,913,878.00","132,083,629.00","134,887,139.00","128,719,982.00","114,851,022.00","116,402,068.00","100,311,218.00","104,935,765.00","106,847,609.00","106,828,966.00","107,924,195.00","103,086,196.00","106,124,781.00","107,611,868.00","107,383,882.00","64,818,214.00","66,510,253.00","68,940,527.00","70,572,045.00"
"Wells Fargo Endeavor Select R6","WECRX","US Fund Large Growth","U.S. Equity","Wells Fargo Funds","2019-09-20","Michael T. Smith;Christopher J. Warner;","Unbundled","","","","","2020-06-11","43,834,982.00","2020-06-11","248,225,918.00","No","0.70","0.60","Retirement","No","11.85","9.31","5.43","","","","-21,742,055.24","-116,555,813.66","-276,076,629.28","No","","","","","","","","","0.27","2021-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50,779,388.00","51,281,636.00","51,955,739.00","51,248,512.00"
